Year,State,HAI,Facility_Name1,Facility_Name2,Facility_Name3,FACID1,FACID2,FACID3,County,Hospital_Onset_Cases,Patient_Days,SIR,SIR_95%_CI_Lower_Limit,SIR_95%_CI_Upper_Limit,Comparison,Notes
2013,California,Clostridium difficile Infection (CDI),Colusa Reg Medical Center,.,.,230000259,.,.,Colusa,0,2059,,,,.,
2013,California,Clostridium difficile Infection (CDI),Patients' Hospital of Redding,.,.,230000444,.,.,Shasta,0,630,,,,.,
2013,California,Clostridium difficile Infection (CDI),"Adventist Medical Center, Hanford",Adventist Medical Center-Selma,.,040000122,630012960,.,Kings-Fresno,23,41364,0.98,0.63,1.44,No Different,† See Data Dictionary
2013,California,Clostridium difficile Infection (CDI),"Adventist Medical Center, Reedley",.,.,040000124,.,.,Fresno,0,4207,0,0,1.63,No Different,
2013,California,Clostridium difficile Infection (CDI),"AHMC Anaheim Regional Medical Center, Anaheim",.,.,060000002,.,.,Orange,42,46651,1.24,0.91,1.67,No Different,
2013,California,Clostridium difficile Infection (CDI),"Alameda County Medical Center, Oakland","Alameda County Medical Center-Fairmont Campus, San Leandro",.,140000034,140000184,.,Alameda,26,52456,0.84,0.56,1.21,No Different,† See Data Dictionary
2013,California,Clostridium difficile Infection (CDI),Alameda Hospital,.,.,140000011,.,.,Alameda,7,11520,1.21,0.53,2.39,No Different,
2013,California,Clostridium difficile Infection (CDI),Alhambra Hospital Medical Center,.,.,930000005,.,.,Los Angeles,16,19433,1.17,0.69,1.86,No Different,
2013,California,Clostridium difficile Infection (CDI),"Alta Bates Summit Medical Center, Alta Bates Campus, Berkeley","Alta Bates Summit Medical Center, Herrick Campus, Berkeley",.,140000012,140000006,.,Alameda,28,73336,0.66,0.45,0.94,Lower,† See Data Dictionary
2013,California,Clostridium difficile Infection (CDI),"Children's Hospital of Orange County, Orange",.,.,060000007,.,.,Orange,31,44349,0.97,0.67,1.35,No Different,
2013,California,Clostridium difficile Infection (CDI),"Alta Bates Summit Medical Center, Oakland","Alta Bates Summit Medical Center, Summit Campus, Oakland",.,140000425,140000203,.,Alameda,44,66733,1.08,0.8,1.44,No Different,† See Data Dictionary
2013,California,Clostridium difficile Infection (CDI),"Alvarado Hospital Medical Center, Campus #1, San Diego","Alvarado Hospital Medical Center, Campus #2, San Diego",.,090000013,090000839,.,San Diego,19,30496,1.04,0.64,1.59,No Different,† See Data Dictionary
2013,California,Clostridium difficile Infection (CDI),"Antelope Valley Hospital, Lancaster",.,.,930000008,.,.,Los Angeles,61,88859,0.85,0.66,1.09,No Different,
2013,California,Clostridium difficile Infection (CDI),"Arrowhead Regional Medical Center, Colton",.,.,240000100,.,.,San Bernardino,90,100231,1.28,1.03,1.57,Higher,
2013,California,Clostridium difficile Infection (CDI),Bakersfield Heart Hospital,.,.,120001330,.,.,Kern,8,16641,0.79,0.37,1.49,No Different,
2013,California,Clostridium difficile Infection (CDI),Bakersfield Memorial Hospital,.,.,120000338,.,.,Kern,42,55583,1.02,0.74,1.36,No Different,
2013,California,Clostridium difficile Infection (CDI),"Banner Lassen Medical Center, Susanville",.,.,230000008,.,.,Lassen,3,4292,1.04,0.27,2.84,No Different,
2013,California,Clostridium difficile Infection (CDI),Barstow Community Hospital,.,.,240000001,.,.,San Bernardino,3,6969,0.82,0.21,2.24,No Different,
2013,California,Clostridium difficile Infection (CDI),"Barton Memorial Hospital, South Lake Tahoe",.,.,030000114,.,.,El Dorado,0,7076,0,0,0.89,Lower,
2013,California,Clostridium difficile Infection (CDI),"Bear Valley Community Hospital, Big Bear Lake",.,.,240000002,.,.,San Bernardino,0,655,,,,.,
2013,California,Clostridium difficile Infection (CDI),"Beverly Hospital, Montebello",.,.,930000012,.,.,Los Angeles,47,39937,1.67,1.24,2.2,Higher,
2013,California,Clostridium difficile Infection (CDI),"Biggs Gridley Memorial Hospital, Gridley",.,.,230000001,.,.,Butte,0,3107,0,0,2.02,No Different,
2013,California,Clostridium difficile Infection (CDI),"California Hospital Medical Center, Los Angeles",.,.,930000002,.,.,Los Angeles,9,55585,0.25,0.12,0.45,Lower,
2013,California,Clostridium difficile Infection (CDI),"California Medical Facility, Vacaville",.,.,150000441,.,.,Solano,0,2042,,,,.,
2013,California,Clostridium difficile Infection (CDI),"California Mens Colony, San Luis Obispo",.,.,170001888,.,.,San Luis Obispo,8,9108,2.01,0.94,3.83,No Different,
2013,California,Clostridium difficile Infection (CDI),"California Pacific Medical Center, Davies Campus Hospital, SF",.,.,220000023,.,.,San Francisco,11,22050,0.65,0.34,1.13,No Different,
2013,California,Clostridium difficile Infection (CDI),"California Pacific Medical Center, Pacific Campus Hospital, SF","California Pacific Medical Center, CA West Campus  Hospital, SF",.,220000022,220000002,.,San Francisco,63,89470,0.84,0.65,1.07,No Different,† See Data Dictionary
2013,California,Clostridium difficile Infection (CDI),"California Pacific Medical Center, St Luke's Campus, San Francisco",.,.,220000018,.,.,San Francisco,17,14919,1.46,0.88,2.29,No Different,
2013,California,Clostridium difficile Infection (CDI),"Catalina Island Medical Center, Avalon",.,.,930000013,.,.,Los Angeles,0,41,,,,.,
2013,California,Clostridium difficile Infection (CDI),"Cedars-Sinai Medical Center, Los Angeles",.,.,930000004,.,.,Los Angeles,334,243917,1.43,1.28,1.59,Higher,
2013,California,Clostridium difficile Infection (CDI),"Centinela Hospital Medical Center, Inglewood",.,.,930000022,.,.,Los Angeles,46,70604,0.82,0.61,1.09,No Different,
2013,California,Clostridium difficile Infection (CDI),"Central Valley General Hospital, Hanford",.,.,040000119,.,.,Kings,0,4174,0,0,1.5,No Different,
2013,California,Clostridium difficile Infection (CDI),"Chapman Medical Center, Orange",.,.,060000006,.,.,Orange,2,11874,0.25,0.04,0.83,Lower,
2013,California,Clostridium difficile Infection (CDI),Childrens Hospital and Research Center at Oakland,.,.,140000014,.,.,Alameda,23,38334,0.87,0.57,1.29,No Different,
2013,California,Clostridium difficile Infection (CDI),"Children's Hospital at Mission, Mission Viejo",.,.,060001207,.,.,Orange,0,3865,0,0,1.29,No Different,
2013,California,Clostridium difficile Infection (CDI),"Children's Hospital Central California, Madera",.,.,040000129,.,.,Madera,30,51698,0.75,0.52,1.06,No Different,
2013,California,Clostridium difficile Infection (CDI),Childrens Hospital of Los Angeles,.,.,930000034,.,.,Los Angeles,60,86737,0.74,0.57,0.94,Lower,
2013,California,Clostridium difficile Infection (CDI),"Chinese Hospital, San Francisco",.,.,220000003,.,.,San Francisco,11,11265,1.76,0.93,3.06,No Different,
2013,California,Clostridium difficile Infection (CDI),"Chino Valley Medical Center, Chino",.,.,240000003,.,.,San Bernardino,5,14367,0.71,0.26,1.57,No Different,
2013,California,Clostridium difficile Infection (CDI),"Citrus Valley Medical Center, IC , Covina","Citrus Valley Medical Center, QV,  West Covina",.,930000070,930000132,.,Los Angeles,68,84183,1.07,0.84,1.35,No Different,† See Data Dictionary
2013,California,Clostridium difficile Infection (CDI),"City of Hope Helford Clinical Research Hospital, Duarte",.,.,930000036,.,.,Los Angeles,126,60086,3.44,2.88,4.09,Higher,
2013,California,Clostridium difficile Infection (CDI),Clovis Community Medical Center,.,.,040000095,.,.,Fresno,28,43415,0.94,0.64,1.34,No Different,
2013,California,Clostridium difficile Infection (CDI),Coalinga Regional Medical Center,.,.,040000096,.,.,Fresno,1,976,2.15,0.05,11.96,No Different,¥  See Data Dictionary
2013,California,Clostridium difficile Infection (CDI),"Coast Plaza Hospital, Norwalk",.,.,930000038,.,.,Los Angeles,14,13790,1.72,0.98,2.82,No Different,
2013,California,Clostridium difficile Infection (CDI),"Coastal Communities Hospital, Santa Ana",.,.,060000021,.,.,Orange,5,17776,0.58,0.21,1.28,No Different,
2013,California,Clostridium difficile Infection (CDI),College Hospital Costa Mesa,.,.,060000008,.,.,Orange,0,39515,0,0,0.16,Lower,
2013,California,Clostridium difficile Infection (CDI),"Colorado River Medical Center, Needles",.,.,240000034,.,.,San Bernardino,0,1540,,,,.,
2013,California,Clostridium difficile Infection (CDI),Community and Mission Hospital of Huntington Park,.,.,930000040,.,.,Los Angeles,0,14747,0,0,0.46,Lower,
