Year,State,HAI,Facility_ID1,Facility_Name1,County,Hospital_Onset_Cases,Predicted_Cases,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Notes
2015,California,Clostridium difficile Infection (CDI),060000002,AHMC Anaheim Regional Medical Center,Orange,53,33.31,46348,1.59,1.2,2.07,Higher,
2015,California,Clostridium difficile Infection (CDI),630012960,Adventist Medical Center,Kings,21,25.56,33672,0.82,0.52,1.24,No difference,
2015,California,Clostridium difficile Infection (CDI),040000124,Adventist Medical Center - Reedley,Fresno,0,3.05,4856,0,0,0.98,Lower,
2015,California,Clostridium difficile Infection (CDI),040000122,Adventist Medical Center - Selma,Fresno,3,4.72,7286,0.64,0.16,1.73,No difference,
2015,California,Clostridium difficile Infection (CDI),140000011,Alameda Hospital,Alameda,11,7.57,14217,1.45,0.76,2.53,No difference,
2015,California,Clostridium difficile Infection (CDI),930000005,Alhambra Hospital Medical Center,Los Angeles,,,,,,,,"Incomplete Reporter, see Data Dictionary"
2015,California,Clostridium difficile Infection (CDI),140000425,Alta Bates Summit Medical Center,Alameda,38,38.75,61891,0.98,0.7,1.33,No difference,"*Hospitals reported combined data, see Data Dictionary"
2015,California,Clostridium difficile Infection (CDI),140000012,Alta Bates Summit Medical Center - Alta Bates Campus,Alameda,39,33.84,56757,1.15,0.83,1.56,No difference,"*Hospitals reported combined data, see Data Dictionary"
2015,California,Clostridium difficile Infection (CDI),090000013,Alvarado Hospital Medical Center,San Diego,28,16.01,26768,1.75,1.19,2.49,Higher,"*Hospitals reported combined data, see Data Dictionary"
2015,California,Clostridium difficile Infection (CDI),060000074,Anaheim Global Medical Center,Orange,10,21.86,35126,0.46,0.23,0.82,Lower,
2015,California,Clostridium difficile Infection (CDI),930000008,Antelope Valley Hospital,Los Angeles,67,66.67,81767,1.01,0.79,1.27,No difference,
2015,California,Clostridium difficile Infection (CDI),240000100,Arrowhead Regional Medical Center,San Bernardino,37,64.77,94397,0.57,0.41,0.78,Lower,
2015,California,Clostridium difficile Infection (CDI),120001330,Bakersfield Heart Hospital,Kern,6,9.34,13827,0.64,0.26,1.34,No difference,
2015,California,Clostridium difficile Infection (CDI),120000338,Bakersfield Memorial Hospital,Kern,40,42.36,54838,0.94,0.68,1.27,No difference,
2015,California,Clostridium difficile Infection (CDI),230000008,Banner Lassen Medical Center,Lassen,0,2.43,4045,0,0,1.23,No difference,
2015,California,Clostridium difficile Infection (CDI),240000001,Barstow Community Hospital,San Bernardino,1,3.34,6706,0.3,0.02,1.48,No difference,
2015,California,Clostridium difficile Infection (CDI),030000114,Barton Memorial Hospital,El Dorado,2,3.25,7147,0.62,0.1,2.03,No difference,
2015,California,Clostridium difficile Infection (CDI),240000002,Bear Valley Community Hospital,San Bernardino,0,0.3,587,0,0,12.21,No difference,¥ See Data Dictionary; ¶ See Data Dictionary
