Year,State,HAI,Facility_ID,Facility_Name,County,Facility_Category,Facility_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,SIR_2015,Notes
2016,California,Clostridium difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - General Acute Care Hospitals,,STATE OF CALIFORNIA POOLED DATA - General Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - General Acute Care Hospitals,10279,9597.61,13547105,1.07,1.05,1.09,Worse,1.15,
2016,California,Clostridium difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,643,564.27,484402,1.14,1.05,1.23,Worse,1.04,
2016,California,Clostridium difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - Critical Access Acute Care Hospitals,,STATE OF CALIFORNIA POOLED DATA - Critical Access Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Acute Care Hospitals,68,37.78,102599,1.8,1.4,2.28,Worse,1.39,
2016,California,Clostridium difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Units and Free-standing Hospitals,,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Units and Free-standing Hospitals,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Units and Free-standing Hospitals,211,226.85,475981,0.93,0.81,1.06,Same,0.89,
2016,California,Clostridium difficile Infection (CDI),140000011,Alameda Hospital,Alameda,General Acute Care Hospital,Community (<125 Beds),5,6.05,16784,0.83,0.3,1.83,Same,1.81,
2016,California,Clostridium difficile Infection (CDI),140000425,Alta Bates Summit Medical Center,Alameda,General Acute Care Hospital,Community (>250 Beds),55,41.81,57543,1.32,1,1.7,Same,1.09,"* Hospitals reported combined data, see Data Dictionary"
2016,California,Clostridium difficile Infection (CDI),140000012,Alta Bates Summit Medical Center - Alta Bates Campus,Alameda,General Acute Care Hospital,Community (>250 Beds),36,35.91,54932,1,0.71,1.37,Same,1.26,
2016,California,Clostridium difficile Infection (CDI),140000425,"Alta Bates Summit Medical Center, Rehabilitation Unit",Alameda,Rehabilitation Hospital or Unit,Rehabilitation Unit,8,9.8,18421,0.82,0.38,1.55,Same,0.63,"* Hospitals reported combined data, see Data Dictionary"
2016,California,Clostridium difficile Infection (CDI),140000014,Children's Hospital & Research Center Oakland,Alameda,General Acute Care Hospital,Pediatric,27,16.58,36840,1.63,1.1,2.34,Worse,1.42,
2016,California,Clostridium difficile Infection (CDI),140000183,Eden Medical Center,Alameda,General Acute Care Hospital,Community (125-250 Beds),32,26.19,37736,1.22,0.85,1.7,Same,1.63,
2016,California,Clostridium difficile Infection (CDI),140000034,Highland Hospital,Alameda,General Acute Care Hospital,Major Teaching,13,28.87,48604,0.45,0.25,0.75,Better,1,"* Hospitals reported combined data, see Data Dictionary"
2016,California,Clostridium difficile Infection (CDI),140001086,"Kaiser Foundation Hospital, Fremont",Alameda,General Acute Care Hospital,Community (<125 Beds),17,10.02,16478,1.7,1.02,2.66,Worse,0.78,
2016,California,Clostridium difficile Infection (CDI),140000188,"Kaiser Foundation Hospital, Oakland/Richmond",Alameda,General Acute Care Hospital,Major Teaching,29,55.61,85581,0.52,0.36,0.74,Better,1.24,"* Hospitals reported combined data, see Data Dictionary"
2016,California,Clostridium difficile Infection (CDI),630015029,"Kaiser Foundation Hospital, San Leandro",Alameda,General Acute Care Hospital,Community (125-250 Beds),8,24.99,38389,0.32,0.15,0.61,Better,0.9,
2016,California,Clostridium difficile Infection (CDI),140000148,"Kindred Hospital, San Francisco Bay Area",Alameda,Long-term Acute Care Hospital,LTAC,13,28.14,22195,0.46,0.26,0.77,Better,0.69,
2016,California,Clostridium difficile Infection (CDI),630013913,San Leandro Hospital,Alameda,General Acute Care Hospital,Community (<125 Beds),3,4.1,12946,0.73,0.19,1.99,Same,1.63,
2016,California,Clostridium difficile Infection (CDI),140000041,St Rose Hospital,Alameda,General Acute Care Hospital,Community (125-250 Beds),17,38.57,23237,0.44,0.27,0.69,Better,1.46,
2016,California,Clostridium difficile Infection (CDI),140000797,Valleycare Medical Center,Alameda,General Acute Care Hospital,Community (125-250 Beds),27,27.54,35815,0.98,0.66,1.41,Same,1.62,"* Hospitals reported combined data, see Data Dictionary"
2016,California,Clostridium difficile Infection (CDI),140000118,Washington Hospital,Alameda,General Acute Care Hospital,Community (>250 Beds),38,32.95,56411,1.15,0.83,1.57,Same,1.73,
2016,California,Clostridium difficile Infection (CDI),030000108,Sutter Amador Hospital,Amador,General Acute Care Hospital,Community (<125 Beds),2,3.26,8463,0.61,0.1,2.02,Same,0.88,
2016,California,Clostridium difficile Infection (CDI),230000013,Enloe Medical Center - Esplanade,Butte,General Acute Care Hospital,Community (>250 Beds),53,46.85,69263,1.13,0.86,1.47,Same,0.94,
2016,California,Clostridium difficile Infection (CDI),230000405,Enloe Rehabilitation Center,Butte,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,3,2.91,7017,1.03,0.26,2.81,Same,0,
2016,California,Clostridium difficile Infection (CDI),230000005,Feather River Hospital,Butte,General Acute Care Hospital,Community (<125 Beds),14,7.54,13551,1.86,1.06,3.04,Worse,1.9,
2016,California,Clostridium difficile Infection (CDI),230000001,Orchard Hospital,Butte,Critical Access Hospital,Critical Access,1,0.01,15, , , ,, ,
