Year,State,HAI,Facility_ID,Facility_Name,County,Hospital_Category_RiskAdjustment,Hospital_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,"On_Track_Toward_2020_Goal (0.82, 2018)",Months,SIR_2015,Notes
2018,California,Clostridioides difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,5731,8475.27,13584384,0.68,0.66,0.69,Better,Yes,,1.15,
2018,California,Clostridioides difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-term Acute Care Hospitals,515,543.02,452585,0.95,0.87,1.03,Same,No,,1.04,
2018,California,Clostridioides difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - Critical Access Acute Care Hospitals,,STATE OF CALIFORNIA POOLED DATA - Critical Access Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Acute Care Hospitals,28,29.13,88593,0.96,0.65,1.37,Same,No,,1.39,
2018,California,Clostridioides difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospital or Unit,,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospital or Unit,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospital or Unit,147,249.75,555561,0.59,0.50,0.69,Better,Yes,,0.89,
2018,California,Clostridioides difficile Infection (CDI),140000011,Alameda Hospital,Alameda,Acute Care Hospital,Community (<125 Beds),1,4.18,11855,0.24,0.01,1.18,Same,Yes,12,1.81,
2018,California,Clostridioides difficile Infection (CDI),140000425,Alta Bates Summit Medical Center,Alameda,Acute Care Hospital,Community (>250 Beds),22,47.58,55163,0.46,0.30,0.69,Better,Yes,12,1.09,"* Hospitals reported combined data, see Data Dictionary"
2018,California,Clostridioides difficile Infection (CDI),140000012,"Alta Bates Summit Medical Center, Alta Bates Campus",Alameda,Acute Care Hospital,Community (>250 Beds),17,42.29,61693,0.40,0.24,0.63,Better,Yes,12,1.26,
2018,California,Clostridioides difficile Infection (CDI),140000425,"Alta Bates Summit Medical Center, Rehabilitation Unit",Alameda,Rehabilitation Hospital or Unit,Rehabilitation Unit,5,7.45,17667,0.67,0.25,1.49,Same,Yes,12,0.63,"* Hospitals reported combined data, see Data Dictionary"
2018,California,Clostridioides difficile Infection (CDI),140000183,Eden Medical Center,Alameda,Acute Care Hospital,Community (>250 Beds),13,33.10,38791,0.39,0.22,0.66,Better,Yes,12,1.63,
2018,California,Clostridioides difficile Infection (CDI),140000184,Fairmont Hospital,Alameda,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,1,3.13,7543,0.32,0.02,1.58,Same,Yes,12,,
2018,California,Clostridioides difficile Infection (CDI),140000034,Highland Hospital,Alameda,Acute Care Hospital,Major Teaching,20,32.11,54694,0.62,0.39,0.95,Better,Yes,12,1,
2018,California,Clostridioides difficile Infection (CDI),140001086,"Kaiser Foundation Hospital, Fremont",Alameda,Acute Care Hospital,Community (<125 Beds),7,11.34,18442,0.62,0.27,1.22,Same,Yes,12,0.78,
2018,California,Clostridioides difficile Infection (CDI),140000188,"Kaiser Foundation Hospital, Oakland/Richmond",Alameda,Acute Care Hospital,Major Teaching,21,46.70,75288,0.45,0.29,0.68,Better,Yes,12,1.24,
2018,California,Clostridioides difficile Infection (CDI),630015029,"Kaiser Foundation Hospital, San Leandro",Alameda,Acute Care Hospital,Community (125-250 Beds),7,27.12,45416,0.26,0.11,0.51,Better,Yes,12,0.9,
2018,California,Clostridioides difficile Infection (CDI),140000148,"Kindred Hospital, San Francisco Bay Area",Alameda,Long-term Acute Care Hospital,LTAC,42,38.29,27806,1.10,0.80,1.47,Same,No,12,0.69,
2018,California,Clostridioides difficile Infection (CDI),630013913,San Leandro Hospital,Alameda,Acute Care Hospital,Community (<125 Beds),9,8.67,11584,1.04,0.51,1.90,Same,No,12,1.63,
2018,California,Clostridioides difficile Infection (CDI),140000041,St Rose Hospital,Alameda,Acute Care Hospital,Community (125-250 Beds),12,20.43,21466,0.59,0.32,1.00,Better,Yes,12,1.46,
2018,California,Clostridioides difficile Infection (CDI),140000797,Stanford Health Care - ValleyCare,Alameda,Acute Care Hospital,Community (125-250 Beds),12,17.50,27150,0.69,0.37,1.17,Same,Yes,12,1.62,"* Hospitals reported combined data, see Data Dictionary"
2018,California,Clostridioides difficile Infection (CDI),140000014,UCSF Benioff Children's Hospital Oakland,Alameda,Acute Care Hospital,Pediatric,15,14.69,35826,1.02,0.59,1.65,Same,No,12,1.42,
2018,California,Clostridioides difficile Infection (CDI),140000118,Washington Hospital,Alameda,Acute Care Hospital,Community (>250 Beds),33,37.60,55763,0.88,0.61,1.22,Same,No,12,1.73,
2018,California,Clostridioides difficile Infection (CDI),030000108,Sutter Amador Hospital,Amador,Acute Care Hospital,Community (<125 Beds),6,5.14,9991,1.17,0.47,2.43,Same,No,12,0.88,
2018,California,Clostridioides difficile Infection (CDI),230000005,Adventist Health Feather River,Butte,Acute Care Hospital,Community (<125 Beds),7,8.13,12636,0.86,0.38,1.70,Same,No,9,1.9,
2018,California,Clostridioides difficile Infection (CDI),230000013,"Enloe Medical Center, Esplanade",Butte,Acute Care Hospital,Community (>250 Beds),68,60.00,76875,1.13,0.89,1.43,Same,No,12,0.94,
2018,California,Clostridioides difficile Infection (CDI),230000405,Enloe Rehabilitation Center,Butte,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation Hospital,3,1.95,6778,1.54,0.39,4.20,Same,No,12,0,
2018,California,Clostridioides difficile Infection (CDI),230000001,Orchard Hospital,Butte,Critical Access Hospital,Critical Access,0,0.19,840,,,,,,12,,
2018,California,Clostridioides difficile Infection (CDI),230000014,Oroville Hospital,Butte,Acute Care Hospital,Community (125-250 Beds),16,23.08,45343,0.69,0.41,1.10,Same,Yes,12,0.45,
2018,California,Clostridioides difficile Infection (CDI),030000120,Mark Twain Medical Center,Calaveras,Critical Access Hospital,Critical Access,3,1.41,3099,2.13,0.54,5.80,Same,No,12,0.64,
2018,California,Clostridioides difficile Infection (CDI),140000195,Contra Costa Regional Medical Center,Contra Costa,Acute Care Hospital,Major Teaching,6,16.78,36906,0.36,0.15,0.74,Better,Yes,12,1.12,
