Year,State,County,HAI,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,On_Track,Months,SIR_2015,Notes
2019,California,,Clostridioides difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,4886,8174.46,13772148,0.6,0.58,0.62,Better,Yes,,1.15,
2019,California,,Clostridioides difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - Long-Term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-Term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-Term Acute Care Hospitals,390,506.94,446909,0.77,0.7,0.85,Better,No,,1.04,
2019,California,,Clostridioides difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,26,28.97,98933,0.9,0.6,1.3,Same,No,,1.39,
2019,California,,Clostridioides difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,113,254.44,569235,0.44,0.37,0.53,Better,Yes,,0.89,
2019,California,Alameda,Clostridioides difficile Infection (CDI),140000011,Alameda Hospital,Acute Care Hospital,"Community, <125 Beds",5,4.35,12933,1.15,0.42,2.55,Same,No,12,1.81,
2019,California,Alameda,Clostridioides difficile Infection (CDI),140000425,Alta Bates Summit Medical Center,Acute Care Hospital,"Community, >250 Beds",31,45.03,54085,0.69,0.48,0.97,Better,Yes,12,1.09,
2019,California,Alameda,Clostridioides difficile Infection (CDI),140000012,"Alta Bates Summit Medical Center, Alta Bates Campus",Acute Care Hospital,"Community, >250 Beds",15,35.19,48764,0.43,0.25,0.69,Better,Yes,12,1.26,
2019,California,Alameda,Clostridioides difficile Infection (CDI),140000425,"Alta Bates Summit Medical Center, Rehabilitation Unit",Rehabilitation Hospital or Unit,Rehabilitation Unit,3,7.52,17190,0.4,0.1,1.09,Same,Yes,,0.63,
2019,California,Alameda,Clostridioides difficile Infection (CDI),140000183,Eden Medical Center,Acute Care Hospital,"Community, 125-250 Beds",3,43.39,42355,0.07,0.02,0.19,Better,Yes,12,1.63,
2019,California,Alameda,Clostridioides difficile Infection (CDI),140000184,Fairmont Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,1,2.62,6323,0.38,0.02,1.88,Same,Yes,9,,"Incomplete Reporter, interpret with caution"
2019,California,Alameda,Clostridioides difficile Infection (CDI),140000034,Highland Hospital,Acute Care Hospital,Major Teaching,18,30.54,53072,0.59,0.36,0.91,Better,Yes,12,1,
2019,California,Alameda,Clostridioides difficile Infection (CDI),140001086,"Kaiser Foundation Hospital, Fremont",Acute Care Hospital,"Community, <125 Beds",4,11.84,19561,0.34,0.11,0.82,Better,Yes,12,0.78,
2019,California,Alameda,Clostridioides difficile Infection (CDI),140000188,"Kaiser Foundation Hospital, Oakland/Richmond",Acute Care Hospital,Major Teaching,28,45.9,77273,0.61,0.41,0.87,Better,Yes,12,1.24,
2019,California,Alameda,Clostridioides difficile Infection (CDI),630015029,"Kaiser Foundation Hospital, San Leandro",Acute Care Hospital,"Community, 125-250 Beds",4,27.2,46905,0.15,0.05,0.36,Better,Yes,12,0.9,
2019,California,Alameda,Clostridioides difficile Infection (CDI),140000148,"Kindred Hospital, San Francisco Bay Area",Long-Term Acute Care Hospital,Long-Term Acute Care,29,26.94,27418,1.08,0.74,1.53,Same,No,12,0.69,
2019,California,Alameda,Clostridioides difficile Infection (CDI),630013913,San Leandro Hospital,Acute Care Hospital,"Community, <125 Beds",13,5.71,11113,2.28,1.27,3.79,Worse,No,12,1.63,
2019,California,Alameda,Clostridioides difficile Infection (CDI),140000041,St Rose Hospital,Acute Care Hospital,"Community, 125-250 Beds",11,17.54,18830,0.63,0.33,1.09,Same,Yes,12,1.46,
2019,California,Alameda,Clostridioides difficile Infection (CDI),140000797,Stanford Health Care - ValleyCare,Acute Care Hospital,"Community, 125-250 Beds",15,19.09,29951,0.79,0.46,1.27,Same,No,12,1.62,
2019,California,Alameda,Clostridioides difficile Infection (CDI),140000014,UCSF Benioff Children's Hospital Oakland,Acute Care Hospital,Pediatric,8,13.84,33807,0.58,0.27,1.1,Same,Yes,12,1.42,
2019,California,Alameda,Clostridioides difficile Infection (CDI),140000118,Washington Hospital,Acute Care Hospital,"Community, >250 Beds",28,42.59,60595,0.66,0.45,0.94,Better,Yes,12,1.73,
2019,California,Amador,Clostridioides difficile Infection (CDI),030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",3,5.01,9299,0.6,0.15,1.63,Same,Yes,12,0.88,
2019,California,Butte,Clostridioides difficile Infection (CDI),230000013,"Enloe Medical Center, Esplanade",Acute Care Hospital,"Community, >250 Beds",50,57.22,82495,0.87,0.66,1.14,Same,No,12,0.94,
2019,California,Butte,Clostridioides difficile Infection (CDI),230000405,Enloe Rehabilitation Center,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,2,2.74,6609,0.73,0.12,2.41,Same,Yes,12,0,
2019,California,Butte,Clostridioides difficile Infection (CDI),230000001,Orchard Hospital,Critical Access Hospital,Critical Access,0,0.27,1226,0,0,13.624,Same,Yes,12,,¥ See Data Dictionary
2019,California,Butte,Clostridioides difficile Infection (CDI),230000014,Oroville Hospital,Acute Care Hospital,"Community, 125-250 Beds",4,17.52,48302,0.23,0.07,0.55,Better,Yes,12,0.45,
2019,California,Calaveras,Clostridioides difficile Infection (CDI),030000120,Mark Twain Medical Center,Critical Access Hospital,Critical Access,2,1.23,3031,1.63,0.27,5.39,Same,No,12,0.64,
2019,California,Colusa,Clostridioides difficile Infection (CDI),230000259,Colusa Medical Center,Acute Care Hospital,"Community, <125 Beds",0,1.38,5416,0,0,2.17,Same,Yes,12,,
2019,California,Contra Costa,Clostridioides difficile Infection (CDI),140000195,Contra Costa Regional Medical Center,Acute Care Hospital,Major Teaching,2,16.13,37150,0.12,0.02,0.41,Better,Yes,12,1.12,
2019,California,Contra Costa,Clostridioides difficile Infection (CDI),140000196,"John Muir Medical Center, Concord Campus",Acute Care Hospital,Major Teaching,30,39.62,55025,0.76,0.52,1.07,Same,Yes,12,1.15,
