Year,State,County,HAI,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Infections_Reported,Infections_Predicted,Patient_Days,SIR,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,Comparison,Met_2020_Goal,SIR_2015,Months,Notes
2021,California,,Clostridioides difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,4355,7943.69,13966517,0.55,0.53,0.57,Better,Yes,1.15,,
2021,California,,Clostridioides difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - Long-Term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-Term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-Term Acute Care Hospitals,264,483.29,427735,0.55,0.48,0.62,Better,Yes,1.04,,
2021,California,,Clostridioides difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,29,34.38,109522,0.84,0.58,1.2,Same,No,1.39,,
2021,California,,Clostridioides difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,99,234.95,561889,0.42,0.34,0.51,Better,Yes,0.89,,
2021,California,Alameda,Clostridioides difficile Infection (CDI),140000011,Alameda Hospital,Acute Care Hospital,"Community, <125 Beds",2,4.66,11727,0.43,0.07,1.42,Same,Yes,1.81,12,
2021,California,Alameda,Clostridioides difficile Infection (CDI),140000425,Alta Bates Summit Medical Center,Acute Care Hospital,Major Teaching,27,43.25,49882,0.62,0.42,0.9,Better,Yes,1.09,12,
2021,California,Alameda,Clostridioides difficile Infection (CDI),140000425,Alta Bates Summit Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,4.29,13143,0,0,0.7,Better,Yes,0.63,12,
2021,California,Alameda,Clostridioides difficile Infection (CDI),140000012,"Alta Bates Summit Medical Center, Alta Bates Campus",Acute Care Hospital,Major Teaching,13,28.96,43490,0.45,0.25,0.75,Better,Yes,1.26,12,
2021,California,Alameda,Clostridioides difficile Infection (CDI),140000183,Eden Medical Center,Acute Care Hospital,"Community, 125-250 Beds",8,44.1,37679,0.18,0.08,0.34,Better,Yes,1.63,12,
2021,California,Alameda,Clostridioides difficile Infection (CDI),140000034,Highland Hospital,Acute Care Hospital,Major Teaching,16,25.1,43638,0.64,0.38,1.01,Same,Yes,1,12,
2021,California,Alameda,Clostridioides difficile Infection (CDI),140001086,"Kaiser Foundation Hospital, Fremont",Acute Care Hospital,"Community, <125 Beds",1,15.98,26717,0.06,0,0.31,Better,Yes,0.78,12,
2021,California,Alameda,Clostridioides difficile Infection (CDI),140000188,"Kaiser Foundation Hospital, Oakland/Richmond",Acute Care Hospital,Major Teaching,12,48.87,78658,0.25,0.13,0.42,Better,Yes,1.24,12,
2021,California,Alameda,Clostridioides difficile Infection (CDI),630015029,"Kaiser Foundation Hospital, San Leandro",Acute Care Hospital,"Community, 125-250 Beds",5,31.91,49915,0.16,0.06,0.35,Better,Yes,0.9,12,
2021,California,Alameda,Clostridioides difficile Infection (CDI),140000148,"Kindred Hospital, San Francisco Bay Area",Long-Term Acute Care Hospital,Long-Term Acute Care,12,31.35,28296,0.38,0.21,0.65,Better,Yes,0.69,12,
2021,California,Alameda,Clostridioides difficile Infection (CDI),630013913,San Leandro Hospital,Acute Care Hospital,"Community, <125 Beds",3,4.45,10758,0.68,0.17,1.84,Same,Yes,1.63,12,
2021,California,Alameda,Clostridioides difficile Infection (CDI),140000041,St Rose Hospital,Acute Care Hospital,"Community, 125-250 Beds",13,10.14,17291,1.28,0.71,2.14,Same,No,1.46,12,
2021,California,Alameda,Clostridioides difficile Infection (CDI),140000797,Stanford Health Care - ValleyCare,Acute Care Hospital,Major Teaching,20,20,31569,1,0.63,1.52,Same,No,1.62,12,
2021,California,Alameda,Clostridioides difficile Infection (CDI),140000014,UCSF Benioff Children's Hospital Oakland,Acute Care Hospital,Pediatric,7,11.34,27699,0.62,0.27,1.22,Same,Yes,1.42,12,
2021,California,Alameda,Clostridioides difficile Infection (CDI),140000118,Washington Hospital,Acute Care Hospital,"Community, >250 Beds",6,38.17,56834,0.16,0.06,0.33,Better,Yes,1.73,12,
2021,California,Amador,Clostridioides difficile Infection (CDI),030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",0,3.14,9807,0,0,0.96,Better,Yes,0.88,12,
2021,California,Butte,Clostridioides difficile Infection (CDI),230000013,"Enloe Medical Center, Esplanade",Acute Care Hospital,"Community, >250 Beds",52,58.37,81417,0.89,0.67,1.16,Same,No,0.94,12,
2021,California,Butte,Clostridioides difficile Infection (CDI),230000405,Enloe Rehabilitation Center,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,1,1.77,6172,0.56,0.03,2.78,Same,Yes,0,12,
2021,California,Butte,Clostridioides difficile Infection (CDI),230000001,Orchard Hospital,Critical Access Hospital,Critical Access,1,0.26,1167,3.88,0.098,21.617,Same,No,,12,¥ See Data Dictionary
2021,California,Butte,Clostridioides difficile Infection (CDI),230000014,Oroville Hospital,Acute Care Hospital,"Community, 125-250 Beds",4,10.8,23240,0.37,0.12,0.89,Better,Yes,0.45,6,"Incomplete Reporter, interpret with caution"
2021,California,Calaveras,Clostridioides difficile Infection (CDI),030000120,Mark Twain Medical Center,Critical Access Hospital,Critical Access,2,1.08,3303,1.86,0.31,6.13,Same,No,0.64,12,
2021,California,Colusa,Clostridioides difficile Infection (CDI),230000259,Colusa Medical Center,Acute Care Hospital,"Community, <125 Beds",0,1.3,4748,0,0,2.31,Same,Yes,,12,
2021,California,Contra Costa,Clostridioides difficile Infection (CDI),140000195,Contra Costa Regional Medical Center,Acute Care Hospital,Major Teaching,7,12.2,27036,0.57,0.25,1.14,Same,Yes,1.12,12,
2021,California,Contra Costa,Clostridioides difficile Infection (CDI),140000196,"John Muir Medical Center, Concord Campus",Acute Care Hospital,Major Teaching,31,40.51,57264,0.77,0.53,1.07,Same,No,1.15,12,
