Year,State,County,HAI,Facility_ID,Facility_Name,Hospital_Category_RiskAdjustment,Facility_Type,Infections_Reported,Infections_Predicted,Patient_Days
2020H1,California,,Clostridioides difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Acute Care Hospitals,1814,3414.05,5851652
2020H1,California,,Clostridioides difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - Long-Term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-Term Acute Care Hospitals,STATE OF CALIFORNIA POOLED DATA - Long-Term Acute Care Hospitals,123,264.16,210283
2020H1,California,,Clostridioides difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,STATE OF CALIFORNIA POOLED DATA - Critical Access Hospitals,7,11.48,38133
2020H1,California,,Clostridioides difficile Infection (CDI),,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,STATE OF CALIFORNIA POOLED DATA - Rehabilitation Hospitals or Units,48,113.28,261159
2020H1,California,Alameda,Clostridioides difficile Infection (CDI),140000011,Alameda Hospital,Acute Care Hospital,"Community, <125 Beds",2,2.33,5674
2020H1,California,Alameda,Clostridioides difficile Infection (CDI),140000425,Alta Bates Summit Medical Center,Acute Care Hospital,"Community, >250 Beds",9,26.16,23329
2020H1,California,Alameda,Clostridioides difficile Infection (CDI),140000425,Alta Bates Summit Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,3.13,7170
2020H1,California,Alameda,Clostridioides difficile Infection (CDI),140000012,"Alta Bates Summit Medical Center, Alta Bates Campus",Acute Care Hospital,"Community, >250 Beds",4,18.03,22363
2020H1,California,Alameda,Clostridioides difficile Infection (CDI),140000183,Eden Medical Center,Acute Care Hospital,"Community, 125-250 Beds",2,26.08,17351
2020H1,California,Alameda,Clostridioides difficile Infection (CDI),140000034,Highland Hospital,Acute Care Hospital,Major Teaching,6,27.04,50451
2020H1,California,Alameda,Clostridioides difficile Infection (CDI),140001086,"Kaiser Foundation Hospital, Fremont",Acute Care Hospital,"Community, <125 Beds",3,6.46,10765
2020H1,California,Alameda,Clostridioides difficile Infection (CDI),140000188,"Kaiser Foundation Hospital, Oakland/Richmond",Acute Care Hospital,Major Teaching,6,21.35,35560
2020H1,California,Alameda,Clostridioides difficile Infection (CDI),630015029,"Kaiser Foundation Hospital, San Leandro",Acute Care Hospital,"Community, 125-250 Beds",4,12.35,22502
2020H1,California,Alameda,Clostridioides difficile Infection (CDI),140000148,"Kindred Hospital, San Francisco Bay Area",Long-Term Acute Care Hospital,Long-Term Acute Care,9,16.96,12054
2020H1,California,Alameda,Clostridioides difficile Infection (CDI),630013913,San Leandro Hospital,Acute Care Hospital,"Community, <125 Beds",6,2.73,5385
2020H1,California,Alameda,Clostridioides difficile Infection (CDI),140000041,St Rose Hospital,Acute Care Hospital,"Community, 125-250 Beds",3,4.43,8339
2020H1,California,Alameda,Clostridioides difficile Infection (CDI),140000797,Stanford Health Care - ValleyCare,Acute Care Hospital,"Community, 125-250 Beds",5,8.83,13753
2020H1,California,Alameda,Clostridioides difficile Infection (CDI),140000014,UCSF Benioff Children's Hospital Oakland,Acute Care Hospital,Pediatric,11,8.24,15888
2020H1,California,Alameda,Clostridioides difficile Infection (CDI),140000118,Washington Hospital,Acute Care Hospital,"Community, >250 Beds",21,18.87,24993
2020H1,California,Amador,Clostridioides difficile Infection (CDI),030000108,Sutter Amador Hospital,Acute Care Hospital,"Community, <125 Beds",1,3.36,4595
2020H1,California,Butte,Clostridioides difficile Infection (CDI),230000013,"Enloe Medical Center, Esplanade",Acute Care Hospital,"Community, >250 Beds",17,24.32,35710
2020H1,California,Butte,Clostridioides difficile Infection (CDI),230000405,Enloe Rehabilitation Center,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,0.85,2962
2020H1,California,Butte,Clostridioides difficile Infection (CDI),230000001,Orchard Hospital,Critical Access Hospital,Critical Access,0,0.18,545
2020H1,California,Butte,Clostridioides difficile Infection (CDI),230000014,Oroville Hospital,Acute Care Hospital,"Community, 125-250 Beds",2,8.09,21756
2020H1,California,Calaveras,Clostridioides difficile Infection (CDI),030000120,Mark Twain Medical Center,Critical Access Hospital,Critical Access,0,0.9,1984
2020H1,California,Colusa,Clostridioides difficile Infection (CDI),230000259,Colusa Medical Center,Acute Care Hospital,"Community, <125 Beds",0,0.94,3011
2020H1,California,Contra Costa,Clostridioides difficile Infection (CDI),140000195,Contra Costa Regional Medical Center,Acute Care Hospital,Major Teaching,1,5.29,12630
2020H1,California,Contra Costa,Clostridioides difficile Infection (CDI),140000196,"John Muir Medical Center, Concord Campus",Acute Care Hospital,Major Teaching,12,16.93,24261
2020H1,California,Contra Costa,Clostridioides difficile Infection (CDI),140000187,"John Muir Medical Center, Walnut Creek Campus",Acute Care Hospital,Major Teaching,17,29.21,36695
2020H1,California,Contra Costa,Clostridioides difficile Infection (CDI),140000187,"John Muir Medical Center, Walnut Creek Campus",Rehabilitation Hospital or Unit,Rehabilitation Unit,2,1.73,3348
2020H1,California,Contra Costa,Clostridioides difficile Infection (CDI),630011203,"Kaiser Foundation Hospital, Antioch",Acute Care Hospital,Major Teaching,6,8.07,14717
2020H1,California,Contra Costa,Clostridioides difficile Infection (CDI),140000191,"Kaiser Foundation Hospital, Richmond Campus",Acute Care Hospital,Major Teaching,1,3.28,6463
2020H1,California,Contra Costa,Clostridioides difficile Infection (CDI),140000190,"Kaiser Foundation Hospital, Walnut Creek",Acute Care Hospital,"Community, 125-250 Beds",11,18.07,25649
2020H1,California,Contra Costa,Clostridioides difficile Infection (CDI),140000704,San Ramon Regional Medical Center,Acute Care Hospital,"Community, <125 Beds",0,3.45,6529
2020H1,California,Contra Costa,Clostridioides difficile Infection (CDI),140000016,Sutter Delta Medical Center,Acute Care Hospital,"Community, 125-250 Beds",2,9.8,13167
2020H1,California,Del Norte,Clostridioides difficile Infection (CDI),110000049,Sutter Coast Hospital,Acute Care Hospital,"Community, <125 Beds",1,1.35,2782
2020H1,California,Del Norte,Clostridioides difficile Infection (CDI),110000049,Sutter Coast Hospital,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.39,1244
2020H1,California,El Dorado,Clostridioides difficile Infection (CDI),030000114,Barton Memorial Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.88,2505
2020H1,California,El Dorado,Clostridioides difficile Infection (CDI),030000121,Marshall Medical Center,Acute Care Hospital,"Community, <125 Beds",2,12.74,9231
2020H1,California,Fresno,Clostridioides difficile Infection (CDI),040000124,Adventist Health Reedley,Acute Care Hospital,"Community, <125 Beds",,,
2020H1,California,Fresno,Clostridioides difficile Infection (CDI),040000122,Adventist Health Selma,Acute Care Hospital,"Community, <125 Beds",,,
2020H1,California,Fresno,Clostridioides difficile Infection (CDI),040000095,Clovis Community Medical Center,Acute Care Hospital,Major Teaching,5,5.88,14472
2020H1,California,Fresno,Clostridioides difficile Infection (CDI),040000101,Community Regional Medical Center,Acute Care Hospital,Major Teaching,9,20.12,40331
2020H1,California,Fresno,Clostridioides difficile Infection (CDI),040000101,Community Regional Medical Center,Rehabilitation Hospital or Unit,Rehabilitation Unit,0,0.91,2370
2020H1,California,Fresno,Clostridioides difficile Infection (CDI),040001397,Fresno Heart and Surgical Hospital,Acute Care Hospital,Major Teaching,0,0.76,2580
2020H1,California,Fresno,Clostridioides difficile Infection (CDI),040000254,Fresno Surgical Hospital,Acute Care Hospital,"Community, <125 Beds",0,0.32,2128
2020H1,California,Fresno,Clostridioides difficile Infection (CDI),040000949,"Kaiser Foundation Hospital, Fresno",Acute Care Hospital,"Community, 125-250 Beds",3,11.51,18464
2020H1,California,Fresno,Clostridioides difficile Infection (CDI),040000126,Saint Agnes Medical Center,Acute Care Hospital,Major Teaching,9,21.92,44479
2020H1,California,Fresno,Clostridioides difficile Infection (CDI),040000613,San Joaquin Valley Rehabilitation Hospital,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,0,2.38,9133
2020H1,California,Glenn,Clostridioides difficile Infection (CDI),230000006,Glenn Medical Center,Critical Access Hospital,Critical Access,0,0.79,3562
