Year,State,HAI,Facility_ID1,Facility_Name1,County,Hospital_Onset_Cases,Patient_Days,Hospital_Onset_Rate,CI_95_Lower_Limit,CI_95_Upper_Limit,PCR,Notes
2014,California,Clostridium difficile Infection (CDI),930000014,Barlow Respiratory Hospital,Los Angeles,46,22858,20.12,14.73,26.84,Used PCR,
2014,California,Clostridium difficile Infection (CDI),030000129,Central Valley Specialty Hospital,Stanislaus,27,19478,13.86,9.14,20.17,No,
2014,California,Clostridium difficile Infection (CDI),110000946,Kentfield Rehabilitation & Specialty Hospital,Marin,20,17386,11.5,7.03,17.77,Used PCR,
2014,California,Clostridium difficile Infection (CDI),930000144,"Kindred Hospital, Baldwin Park",Los Angeles,37,25229,14.67,10.33,20.21,Used PCR,
2014,California,Clostridium difficile Infection (CDI),060001360,"Kindred Hospital, Brea",Orange,18,14648,12.29,7.28,19.42,Used PCR,
2014,California,Clostridium difficile Infection (CDI),930000089,"Kindred Hospital, La Mirada",Los Angeles,49,20436,23.98,17.74,31.7,Used PCR,
2014,California,Clostridium difficile Infection (CDI),930000088,"Kindred Hospital, Los Angeles",Los Angeles,59,27162,21.72,16.54,28.02,Used PCR,
2014,California,Clostridium difficile Infection (CDI),240000040,"Kindred Hospital, Ontario",San Bernardino,38,24881,15.27,10.81,20.96,Used PCR,
2014,California,Clostridium difficile Infection (CDI),240001515,"Kindred Hospital, Rancho",San Bernardino,27,17876,15.1,9.95,21.98,Used PCR,
2014,California,Clostridium difficile Infection (CDI),250000004,"Kindred Hospital, Riverside",Riverside,21,12273,17.11,10.59,26.16,Used PCR,
2014,California,Clostridium difficile Infection (CDI),090000048,"Kindred Hospital, San Diego",San Diego,32,17509,18.28,12.5,25.8,Used PCR,
2014,California,Clostridium difficile Infection (CDI),140000148,"Kindred Hospital, San Francisco Bay Area",Alameda,33,17950,18.38,12.65,25.82,Used PCR,
2014,California,Clostridium difficile Infection (CDI),930000042,"Kindred Hospital, San Gabriel Valley",Los Angeles,20,19609,10.2,6.23,15.75,Used PCR,
2014,California,Clostridium difficile Infection (CDI),930001607,"Kindred Hospital, Santa Ana",Orange,28,18150,15.43,10.25,22.3,Used PCR,
2014,California,Clostridium difficile Infection (CDI),930000039,"Kindred Hospital, South Bay, Gardena",Los Angeles,42,17067,24.61,17.74,33.26,Used PCR,
2014,California,Clostridium difficile Infection (CDI),930000039,"Kindred Hospital, South Bay, Hawaiian Gardens",Los Angeles,7,8500,8.24,3.31,16.97,No,
2014,California,Clostridium difficile Infection (CDI),060000017,"Kindred Hospital, Westminster",Orange,72,36736,19.6,15.34,24.68,Used PCR,
2014,California,Clostridium difficile Infection (CDI),930000107,Monrovia Memorial Hospital,Los Angeles,19,13093,14.51,8.74,22.66,No,
2014,California,Clostridium difficile Infection (CDI),930000003,Promise Hospital of East Los Angeles-East L.A Campus,Los Angeles,8,9550,8.38,3.62,16.51,No,
2014,California,Clostridium difficile Infection (CDI),930000033,Promise Hospital of East Los Angeles-Suburban Campus,Los Angeles,34,45818,7.42,5.14,10.37,No,
2014,California,Clostridium difficile Infection (CDI),090000155,Promise Hospital of San Diego,San Diego,0,11429,0,0,2.62,Used PCR,
2014,California,Clostridium difficile Infection (CDI),230000422,Vibra Hospital of Northern California,Shasta,22,16755,13.13,8.23,19.88,Used PCR,
2014,California,Clostridium difficile Infection (CDI),030000907,Vibra Hospital of Sacramento,Sacramento,19,14774,12.86,7.74,20.08,Used PCR,
2014,California,Clostridium difficile Infection (CDI),090000977,Vibra Hospital of San Diego,San Diego,29,25305,11.46,7.68,16.46,Used PCR,
